iter	Passed	Remaining
0	0	56
1	1	53
2	1	49
3	1	45
4	2	43
5	2	42
6	3	41
7	3	40
8	3	39
9	4	38
10	4	38
11	5	37
12	5	37
13	5	36
14	6	35
15	6	35
16	7	34
17	7	33
18	7	33
19	8	32
20	8	32
21	8	31
22	9	31
23	9	31
24	10	30
25	10	30
26	11	29
27	11	29
28	11	28
29	12	28
30	12	27
31	13	29
32	14	28
33	14	28
34	14	27
35	15	27
36	15	26
37	15	26
38	16	25
39	16	25
40	17	24
41	17	23
42	17	23
43	18	23
44	18	22
45	18	22
46	19	21
47	19	21
48	20	21
49	20	20
50	20	20
51	21	19
52	21	19
53	22	18
54	22	18
55	22	17
56	23	17
57	23	16
58	23	16
59	24	16
60	24	15
61	24	15
62	25	14
63	25	14
64	26	14
65	26	13
66	27	13
67	27	12
68	27	12
69	28	12
70	28	11
71	29	11
72	29	10
73	29	10
74	30	10
75	30	9
76	31	9
77	31	8
78	31	8
79	32	8
80	32	7
81	33	7
82	33	6
83	33	6
84	34	6
85	34	5
86	35	5
87	35	4
88	35	4
89	36	4
90	36	3
91	37	3
92	37	2
93	38	2
94	38	2
95	38	1
96	39	1
97	39	0
98	40	0
99	40	0
