iter	Passed	Remaining
0	0	746
1	1	652
2	1	589
3	2	561
4	2	546
5	3	537
6	3	537
7	4	529
8	4	522
9	5	512
10	5	508
11	6	503
12	6	496
13	6	491
14	7	488
15	7	483
16	8	480
17	8	477
18	9	475
19	9	472
20	10	472
21	10	474
22	11	474
23	12	488
24	12	488
25	13	487
26	13	485
27	13	483
28	14	482
29	14	480
30	15	479
31	15	476
32	16	472
33	16	468
34	17	470
35	17	467
36	17	462
37	18	459
38	18	456
39	18	452
40	19	450
41	19	447
42	20	445
43	20	442
44	20	440
45	21	438
46	21	436
47	21	434
48	22	432
49	22	430
50	23	428
51	23	427
52	25	463
53	27	477
54	29	498
55	29	504
56	31	522
57	32	533
58	33	531
59	33	527
60	34	524
61	34	521
62	34	518
63	35	515
64	35	513
65	36	510
66	36	507
67	36	504
68	37	502
69	37	499
70	38	497
71	38	494
72	38	491
73	39	489
74	39	486
75	39	484
76	40	488
77	41	487
78	41	485
79	42	483
80	42	481
81	42	479
82	43	475
83	43	473
84	43	472
85	44	470
86	44	469
87	45	469
88	45	469
89	46	468
90	46	466
91	47	464
92	47	462
93	47	461
94	48	459
95	48	457
96	49	456
97	49	454
98	49	452
99	50	451
100	50	449
101	50	448
102	51	446
103	51	445
104	52	443
105	52	443
106	52	441
107	53	440
108	53	438
109	54	437
110	54	435
111	54	434
112	55	433
113	55	432
114	56	431
115	56	429
116	57	436
117	58	435
118	58	434
119	59	433
120	59	432
121	59	430
122	60	429
123	60	428
124	61	427
125	61	426
126	61	424
127	62	422
128	62	421
129	62	420
130	63	419
131	63	417
132	63	416
133	64	415
134	64	414
135	65	413
136	65	411
137	65	410
138	66	409
139	66	408
140	66	407
141	67	405
142	67	404
143	67	402
144	68	401
145	68	400
146	68	399
147	69	398
148	69	397
149	69	396
150	70	395
151	70	394
152	71	393
153	71	392
154	71	390
155	72	389
156	72	388
157	72	387
158	73	386
159	73	385
160	73	384
161	74	383
162	74	382
163	74	381
164	75	380
165	75	379
166	75	378
167	76	377
168	76	376
169	76	375
170	77	374
171	77	373
172	78	372
173	78	372
174	78	371
175	79	370
176	79	369
177	79	368
178	80	367
179	80	366
180	81	368
181	81	367
182	82	366
183	82	365
184	82	364
185	83	363
186	83	362
187	83	362
188	84	361
189	84	360
190	85	360
191	85	359
192	85	358
193	86	357
194	86	357
195	86	356
196	88	360
197	88	360
198	90	362
199	90	363
200	91	363
201	91	362
202	92	361
203	93	363
204	93	362
205	93	361
206	94	360
207	95	362
208	95	361
209	95	360
210	96	360
211	96	360
212	97	361
213	98	360
214	98	359
215	99	359
216	99	359
217	100	358
218	100	358
219	101	359
220	101	359
221	102	359
222	103	359
223	103	358
224	103	357
225	104	356
226	104	356
227	105	355
228	105	355
229	105	354
230	106	353
231	106	352
232	106	351
233	107	351
234	107	350
235	107	349
236	108	348
237	108	347
238	108	346
239	109	346
240	109	345
241	110	344
242	110	343
243	110	343
244	111	342
245	111	341
246	111	341
247	112	340
248	112	339
249	112	338
250	113	338
251	113	337
252	114	336
253	114	335
254	114	335
255	115	334
256	115	333
257	116	334
258	116	333
259	116	332
260	117	332
261	117	331
262	118	330
263	118	330
264	118	329
265	119	328
266	119	327
267	119	327
268	120	326
269	120	325
270	120	324
271	121	324
272	121	323
273	121	323
274	122	322
275	122	321
276	123	321
277	123	320
278	123	320
279	124	319
280	124	318
281	124	318
282	125	317
283	125	316
284	125	316
285	126	315
286	126	314
287	127	314
288	127	313
289	127	312
290	128	312
291	128	311
292	128	311
293	129	310
294	129	309
295	130	309
296	130	308
297	130	308
298	131	307
299	131	306
300	131	306
301	132	305
302	132	305
303	133	304
304	133	304
305	133	303
306	134	302
307	134	302
308	134	301
309	135	301
310	135	300
311	135	299
312	136	299
313	136	298
314	137	297
315	137	297
316	137	296
317	138	296
318	138	295
319	138	294
320	139	294
321	139	293
322	139	293
323	140	292
324	140	292
325	141	292
326	141	291
327	142	290
328	142	290
329	142	289
330	143	290
331	143	289
332	144	288
333	144	288
334	144	287
335	145	287
336	145	286
337	145	285
338	146	285
339	146	284
340	147	284
341	147	283
342	147	283
